,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
56,5ohe95Rbko3eUUEvbkzvEXOcCcJ8erOEECwwthQES9kp00w,tHZBqxhAY1ROY0kYRQodOChYBoppctDZ97oEeivdkvRTuWg,c5e50icrrL4CavJmCHCOkLtz72z0XqwTJJ1Is78C1fvWgd5lXjOUQKsSHfyT5K1nScPzeTSJ-2YyvQ,i blame jg,3478,1558915658000,130
57,GwJvkmPXIYFDVg2LfWRme_VTbTd9dNwMWl6age8JYTwL3jU,OLYmjMmYdy2D7ewfI5l2n5Jw25KAclzAn9ed5yoYu6ejqA,ax3HAj84rPlEvGgKkZqFILRVdHPJ1TTSdFDjwpDdgY4oVpcRJfDEQzpR5rx8BFGiKHvucYCdZ0zavQ,Sheldonneener,3478,1558579385000,121
58,6-CRielHq4KwYKFoEUHu9bPLqeSwEC3uB71XrD226G4gro4,UYRQEYQbNCbVBdfNDEyNPOry1TqK-_zLSxDUx09lMDtUGg,UOf5Kcjqd5UN711Zd1SFH30qbEYIfyM2jajX9o-q9f2l4I2bYE-kIQ_HDjUqRyQpCuY43apV5aamyw,Phenix never die,4050,1558923940000,89
59,2kXaKszTQT-6MtJKHbtkBGhlxgBuwJ_SPGllWUBhqKb862s,d11e9JrNWEyM0jN7elylELSPhbyDI5U7yS7J21AabNj8HA,qHtayGhU7SZPFBMgD-SWFA3Fl-6qaxdqCGJaF_KuEzncmhufdR5PbN8BH713nhff18kVTxUQuFisdw,fuzhou0,3456,1558588125000,121
60,8CqipUdZWN_TOgv4WTGY3VCsM0fXfUD_HP6wpze94zxgzLg,wQeqCok8Vpit80sGhzbZfHKgWksTT30ltHtEvNESYTXmue0,3sESseXAud4CTYT66Rl7XJEzncQfiPAzZ0YhWLqaDTVbVTY3OFF-SeRZBnI-ZGkHa_OmzEe89mOfug,Hydroczin,3369,1556237187000,98
61,7nQ6CfO4uJV9RDcsajTU4XS-FwLiUky1aihwnrmX5JzcF3c,7HWDYylEaTo7_Q5Yx3XbcTC2nmXfKeo5cIfFI3_bnpINuFU,mZcyKQV0_IUs9DBU15E1xPMckGaOBselzD5uImFGxCxxKv9pE7zlJXxSzRCcG8zHJnunBSgrAQoDqw,Cakey,3591,1558916042000,156
62,RQZO6o7zwE4l2z7qJTN7cphOBcvUJ-_yso6yUL1ywIfHQ-M,uX8WvWxC1QhCigsW_YxshzL1DpDC5D6V1FpFyCwEOiCVSdE,rEk_5Drg1q85BGJOKjmY3UkspkVMvWyj8kMTDSO25Wk6VWmD0VvWLzIpWB9KOml9_8_MPxM0c8zMEA,Lord Grím,4088,1558673297000,109
63,_5xyiShyBPJbPRpY539wHaSUY4VqGu33L9tJDk52_Kdi0fU,fcNVI13Q6kX9kKamftnsUjqI4o26XLBtyIlp_aRrhbb7SMA,Tu_nMmTTv9MvhKSOTGmPr85qXJULBu0YAjOzDeJAMg-FTU50a8c_4ClHPzF2PJPwKIuguqGGNKJkUw,YoungXianshi,3496,1558864545000,173
64,uqi-lJVSfZcaTJNoi9DJt7MBp0VP3Na6oZZp-OyLdLQXAbY,ekeBLDlRl6eoQ76CEDHVf7eh8fDLCGRkUCia5YnTJsQ9yc0,zydwXFqXpswO1MjZt1IQ6LXcwgdSqOmpVsPqlb9wwxYQmqwEqiqTUVu94fvPMtA6jI6TjQXbjA3sqA,TheSinisterBIade,3227,1558847566000,44
65,qZeku3M_NOy-Wo0VQnH33uVzhJ2yeaZ4UESlVGEMCJ5WiMA,fOKWDlyrjA-VlQAYvjcyhsW1FS1ig7sQftlFT9Av1uQHeA,bATyo7VKeECCr7svySnzeKHvwV39c42yaHjWeuEDtbQd-ma5IGcx4F9PGoosgh743sOSDmObTGjv5A,ibukisama,4089,1557461701000,175
66,Jj8kE2ZnpxXaBDyqWea1vRX2NnPLs07v40D5_uHmIVhtMMA,6_Eh8ISwesvtQeqo9asZ-HKCCDnN6uBpaV-Izi1Kp-zmSzE,yUauVql5r3qlI3s-rN1bDtDlcTV68mDv6MaJ8mhHykgCFFUMs4nQokMs50t0ia9kv-0pJjvHgf22ZA,BIG POPPA CHEWY,3478,1558952085000,79
67,BwmRqoQunPhxcFgugL2UNNnaYEd8vGTzX21rUNsjm2yvM9M,MtjEp_vplqXdNMj6I-ju8gpceoW53qTov_kX9DeE_a4nKXg,vaYBjfKPMTqKI7C4dlBN0Hs7sacL6zia8eUzTxE8Kr21ikWSS_W4AHgq_GSnqP3VvayzXW3hOXMuVQ,BlueJây,4022,1557724924000,56
68,s2Au_sbq5cNAzxuRLPYSFna9di8kgRZzkw21t_rX9KPrKeA,BT-gtqrMMTo79FRzPc1m2oy_CCd5e5KyH2gak_Inj0wwrlY,DchL4Yc70WodbjXGkXHzedrTcr0Ul9DOGo5RjHUhVqw8Db1Mh45fyfU-guSSR5ggYanj36EMSPsW-Q,Juicy Burrito,2074,1558948703000,137
69,zIqAUnscQat08OeDewO07yS1GSTIU02-E9zv5MBWcmYIpHU,18myLVvSGcm-dyMDtpsn4D7nM5dSFx6iEr_tk4jA1JTLBU8,owP7Ra3Mo5zr420ulP1NfdyaymjcBQzX5Gpp90zSxTErJYhXGh3osnmyjiGSrHWGHu4303FddnFSaA,owlboy56,4087,1557846837000,123
70,iu-MydAFmdfCPYXkw-I59ImyiZs0RYz0fO0qFA35cmrzyns,Z7vfBiibbW44FR3T8f63WBB3cyAfCuVFxtyuX6VEPNDgUQ,SdxhFxmD7MSFfbo9K723Lqm6bziCoTB6Hd_oCWmMgmoQoJBmcpkT8tIpHdZrzOkE2JvZUypv-9SQSw,Freakin Will,4086,1558925957000,153
71,k03R7oNZPph5FLXU0HEYUou6olr-PqVil2SkoTHRR9IQkRM,-Ex61vxCQYNQsKov__bc7uDejbl0U6zjcfS37DO93RbEpw,8GYcscyseX5v4781cBptExETZAI1nzUifJdXjFYQ3aGXTnUyZlsxEA-PFmRPST-0pmHLjQcwU83Cdw,dangmidnight,4086,1558679737000,101
72,f2P-bEmGUENs-8tND1fEjNustXAJAPWs-y3JXlSpRbfmsS4,ahdZCxhR6is85I5oO3DCVAuJx1KHn2fxfFaUtyqoFDGndQ,lSOH5oXPUbqtJ420HdQ8BFstftHkWZl5_7quRAhI970uew650xWSzbPI895L4HGlJm6aHj9z1qbe0w,papercheeze,11,1558327198000,78
