id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5
bdlK_OIha9GTK5qbxW2SQx0ssL9J0NAa24n1EuOjuvZGjbA,_OmmOE1K0T_lMGooI5mPEjK0iVHNsLPftDSVcshiE60QxrQoAnOSkWa3,hPKVygmHYoszExCLSgBb_iISd1wNobTNO6vt7-jYeb6dlR2MUgHi5Ee8M22GWsDeKPP9G_1PV2vYGA,iron4ever,3776,1555890408000,39,,,,,
vS34ZgQi_j9zf48Ix2iQDokF_xx2XiH5BXCdpoUbXSh2GPM,9lJykrBXWcYrMKQAR2zo59TGbSfa1SK9VXrZ3TbrBXb1grI,Ov_OOXBEcLWb2StAefPVq08Lo8KvGiV8OM7WzBJ3wZQTsbGLV90roVjMRmcZZHH_pGZ5s2CH2IBnHw,JWTenacious123,3379,1558657938000,87,,,,,
Hi2XL02ro2sXD9WoOfa-YQA4zu8Rv6BIh9Qo5nsHMzhC1GE,htQU81Qs-31Gt3FbNQ0_X7q9tsbs8VLmnzHo5vHIhdJR0ls,9QcP3w7Yhw9sWcQudp7d37oe4xZT-UmxmXoVbGSTIxTAfTvSWH0Te2xZQAIsRiOX6I6tAjJJIBkt0g,Bumrocker69,4100,1558885320000,60,,,,,
gl61lDv3Rnd43r4Ex1-068XMVoSqs2i11CIgTuhnsBZMTCU,Aps5ppS9G09r07QsGIV4YsXPHW4HAgv79UHC6XDJSOX1tw,57fYRo6n5uGBU01SKl6KKTzxYDTxZZ-hNPCZdiirJGcNaCUrG02N_JpfV_Rpw0L46ONKgR3gWaTvHw,sean1999,661,1558999621000,42,,,,,
jrYZO7NhP3uRpD8MMOGT6nyWvTo6FVmG5cmGbwvPie5JtdE,nfk0Td8bJc1P-cCwPmcWFNq9nD2iNC98oxP8L6J69_CvqLw,6DIZ-AV3aR9s7cFcSZvaeR3yhB1oBhs0zXhUF5TulLjOaTYoHCVZsP07-NGQ55ckf_OcrNWdkE1zSA,DeviantAngel,7,1558987532000,43,,,,,
8PQeTesdVm8bg_x1FOGGBH6UNESSHTydwlErCd98rm0vVpg,puXjlCtQY7GabVadRFgLXqOGFlcsHA2ViR8uU9MNNNiGibs,U1t_HvMk99HXfnWUlqflGMO5LfRBv9Wtr4zeQU4IaIbnlbVOVUmcrge920Jc8Z2BVIH9rfPzkCKAqA,kica123l,4053,1558466856000,92,,,,,
MDdgB5qotllOA7bxurS8vi-rKfOvuTp7s8_demsg2v2_sus,vpQcnaWs9dkW8D4BCHDnRxpv4QYD3jXrgRCHfUIqwYPGng,hmV9mAhCsRkmnNalCoXmW8Q4TTabpbN5AJJf2sptKyWNz_ux9NxxsXAO-XL7IyY7x0es-0ZkcoxvjA,mannyfootball,4087,1558681479000,66,,,,,
jcJbcJDFl_GV4bIJN8Zct1xUhiwSt9pDaQjJVEn8OWteNes,xHWG1GM9XanUvVJAm2iKCTFinOdCJxjhZY-1qB5-yrsUWnY,Wcxgrn1RZ9oQ71WjaL5vaVgWp2qjUnPeaklspkON_DUK3rEt_rMsZ8bSD4RDknXYGPYIXivzBiBXOQ,DaCoon,1387,1558896810000,59,,,,,
BXiRMOdxxEMGweeB8i9LTYCICG3SLmb_LqAaveEp4uAPFAQ,HPCoRneBG5FOhpwXVg7cQ35f8AGPY4IBDXtnUXAis-qa6yw,ZgcyBRrFi97mwXIGvZJuA21uLfXZxct7d919lsGB6jIMEGASsRH8DqGJ7s1zCytZwT4myxsqEIJ9vQ,Kamidogu,0,1554264796000,66,,,,,
ZzyliA2Wb6clhScEFCWBCPhcabek67EwwxgQA97I4Fh-lwc,5QVwTGFw_r5aB-17jChJGbtHU9Ss-tviZ2Mun-DAJCkadF8,cRjke301p23NWZl1ci_Rms9_fwkUSiuAhwtrXbF9d8Td-RnSsrATg4u7Y3Ld-oHpoBvAs9t-3UlNXQ,BreeZ ReAPeR,682,1558974931000,35,,,,,
zxPRCD6C6g7djp_zvBR94YlNz4VW_BkKMAeFLa12Zjp3dXo,E6r_d92tI5op_itF-VzbBskQzfKflAAC1Jc5xpPz97Lgmv0,-usR_6y0z-0zOPDY7UiCH_qj8kzmZvWJ0OURCeWSBjyGE2_OkF-NM2M6rYMDVopaPc7Xs-4lvVy-5Q,Trafalgar222,4086,1558937193000,47,,,,,
lP4fdpPiOaC873OrwDw-22At3O8vGKZUdXoOj22S68njZlA,zGrqVcX3D51mADVrfy4oJKuqEJHtV74MTfMaM1N9q8jkCw,Mbo7MIw_niA_o2dAr3jsaLwn_YGQZIcmxob13W9oScEoxYQ7VZBNUaJ1AZBZ6disqy_AzXgfHO5P6w,FieryOmega,4027,1556068243000,55,,,,,
